name,price
Posters design,250
Banner design,300
Video reels editing (video should be sent by client),300
Video shoot and Reel making,1200
YouTube maintenance,3000
Instagram and Facebook handling,500
Ads Run in Instagram for one item of work,500
Basic package - Posters (10),2500
Basic package - Video reels editing (2),600
Basic package - Social media handling with ad promotion (1),4000
Basic package - Service charge (1),900
Premium package - Posters (16),4000
Premium package - Video reels editing (4),1200
Premium package - Social media handling with ad promotion (4),5000
premium package service charge (1),1800
